tick,tick_dt,input_force,output_position,output_speed,output_ang_vel,output_angle
199.0,0.004493381999999713,0.0026345639193,-1.1611418261228001e-08,4.861417922784497e-07,1.2501768155032263e-06,2.091535632271745e-07
200.0,0.005185604000000232,0.0026345639193,-1.135932437896736e-08,5.529913401735867e-07,1.3961887418425915e-06,2.098018554166926e-07
201.0,0.005252533999999809,0.0026345639193,-1.1068863797370637e-08,5.490840694365203e-07,1.3096487101848506e-06,2.1053520830038712e-07
202.0,0.004779426999999892,0.0026345639193,-1.0806433074697165e-08,1.2950301266602966e-07,4.2646778479795225e-07,2.1116114534098438e-07
203.0,0.004778148000000204,0.0026345639193,-1.0744554618600746e-08,3.8621737275676663e-07,1.03593076748656e-06,2.1136491796028406e-07
204.0,0.005251308000000066,0.0026345639193,-1.0541739980671085e-08,1.3955347788791375e-08,1.915718034794546e-07,2.119089171129589e-07
205.0,0.004773849000000219,0.0026345639193,-1.0535077908362466e-08,3.0701457702856997e-07,8.050256961302076e-07,2.1200037059920576e-07
206.0,0.004787493999999892,0.0026345639193,-1.0388094863818788e-08,3.7644673329236954e-07,1.0223899262697362e-06,2.1238577616821266e-07
207.0,0.005186507999999979,0.0026345639193,-1.0192850464439315e-08,-5.383900704948776e-09,1.5177482569013152e-07,2.129160395213844e-07
208.0,0.004588617000000017,0.0026345639193,-1.0195320930269418e-08,2.5442737863360156e-07,6.990302177833013e-07,2.1298568317591777e-07
209.0,0.0055177120000000635,0.0026345639193,-1.00549352302479e-08,5.070919411755215e-07,1.3090022195678701e-06,2.1337138791802033e-07
210.0,0.005029196999999819,0.0026345639193,-9.799908703319498e-09,6.329065937632202e-07,1.5022686494687678e-06,2.140297109215847e-07
